"time","year","month","usa_imp_sa"
"1989-01","1989","01",37513.2
"1989-02","1989","02",38561.7
"1989-03","1989","03",39724.7
"1989-04","1989","04",38664.7
"1989-05","1989","05",40909.6
"1989-06","1989","06",39780.9
"1989-07","1989","07",38951.3
"1989-08","1989","08",40117.3
"1989-09","1989","09",39232.9
"1989-10","1989","10",40961.2
"1989-11","1989","11",40429
"1989-12","1989","12",38364
"1990-01","1990","01",41380.4
"1990-02","1990","02",39164.4
"1990-03","1990","03",41830
"1990-04","1990","04",39796.9
"1990-05","1990","05",40599.8
"1990-06","1990","06",40687
"1990-07","1990","07",41315.8
"1990-08","1990","08",41795.6
"1990-09","1990","09",41343.8
"1990-10","1990","10",43875.5
"1990-11","1990","11",43066.4
"1990-12","1990","12",39986.1
"1991-01","1991","01",41282.2
"1991-02","1991","02",39411.9
"1991-03","1991","03",38896.7
"1991-04","1991","04",39769.4
"1991-05","1991","05",40256
"1991-06","1991","06",39842.7
"1991-07","1991","07",40413.4
"1991-08","1991","08",40901.9
"1991-09","1991","09",41488.2
"1991-10","1991","10",42461.9
"1991-11","1991","11",41653.4
"1991-12","1991","12",41795
"1992-01","1992","01",41809.5
"1992-02","1992","02",41370.6
"1992-03","1992","03",42681.2
"1992-04","1992","04",43398.8
"1992-05","1992","05",43954.1
"1992-06","1992","06",44954.1
"1992-07","1992","07",44989.4
"1992-08","1992","08",45466.5
"1992-09","1992","09",45670.9
"1992-10","1992","10",46159.5
"1992-11","1992","11",45971.2
"1992-12","1992","12",46238.6
"1993-01","1993","01",45495
"1993-02","1993","02",45102
"1993-03","1993","03",48969
"1993-04","1993","04",48573
"1993-05","1993","05",47942
"1993-06","1993","06",49189
"1993-07","1993","07",48112
"1993-08","1993","08",47901
"1993-09","1993","09",49083
"1993-10","1993","10",50820
"1993-11","1993","11",49939
"1993-12","1993","12",49534
"1994-01","1994","01",50027
"1994-02","1994","02",50399
"1994-03","1994","03",52267
"1994-04","1994","04",52936
"1994-05","1994","05",53830
"1994-06","1994","06",55731
"1994-07","1994","07",56096
"1994-08","1994","08",57396
"1994-09","1994","09",57640
"1994-10","1994","10",57950
"1994-11","1994","11",59778
"1994-12","1994","12",59204
"1995-01","1995","01",60492
"1995-02","1995","02",59836
"1995-03","1995","03",61390
"1995-04","1995","04",62557
"1995-05","1995","05",62311
"1995-06","1995","06",62698
"1995-07","1995","07",62479
"1995-08","1995","08",62042
"1995-09","1995","09",62845
"1995-10","1995","10",62028
"1995-11","1995","11",62138
"1995-12","1995","12",62727
"1996-01","1996","01",63825
"1996-02","1996","02",63519
"1996-03","1996","03",63806
"1996-04","1996","04",64459
"1996-05","1996","05",66464
"1996-06","1996","06",66087
"1996-07","1996","07",66253
"1996-08","1996","08",67329
"1996-09","1996","09",68080
"1996-10","1996","10",67423
"1996-11","1996","11",68364
"1996-12","1996","12",69681
"1997-01","1997","01",69846
"1997-02","1997","02",70131
"1997-03","1997","03",70023
"1997-04","1997","04",71262
"1997-05","1997","05",72137
"1997-06","1997","06",71658
"1997-07","1997","07",73330
"1997-08","1997","08",73623
"1997-09","1997","09",74408
"1997-10","1997","10",74641
"1997-11","1997","11",73588
"1997-12","1997","12",75056
"1998-01","1998","01",74523
"1998-02","1998","02",74184
"1998-03","1998","03",76369
"1998-04","1998","04",76350
"1998-05","1998","05",76492
"1998-06","1998","06",74911
"1998-07","1998","07",74594
"1998-08","1998","08",75707
"1998-09","1998","09",76107
"1998-10","1998","10",77880
"1998-11","1998","11",77912
"1998-12","1998","12",76867
